City,Density,Population,Latitude,Longitude
Mianyang,837931718.049890,1396000,31.470000,104.770000
Guangyuan,837861456.021272,437435,32.430000,105.870000
Deyang,837783174.726596,152194,31.133300,104.400000
Langzhong,837699774.864511,60542,31.575900,105.965600
Chengdu,837456036.071016,4123000,30.670000,104.070000
Hanzhong,837301645.665449,145986,33.130000,107.030000
Rongzhag,837242407.512224,70000,30.950400,101.916700
Nanchong,837127634.769705,2174000,30.780400,106.130000
Suining,837104282.333241,1425000,30.533300,105.533300
Minxian,836721703.320914,67826,34.436200,104.030600
Yaan,836519647.398514,340000,29.980400,103.080000
Tianshui,836414230.526732,1225000,34.600000,105.920000
Chamdo,836411445.948194,100000,31.166700,97.233300
Gar,836406806.730390,10000,32.200400,79.983300
Nagchu,836379693.376955,2500,31.480000,92.050000
Baoji,836333924.390304,800000,34.380000,107.150000
Jyekundo,836329943.764313,23000,33.016600,96.733300
Jumla,836254184.335104,9073,29.250000,82.216700
Dandeldhura,836160335.588020,19014,29.300000,80.600000
Ankang,836115039.581487,1100000,32.680000,109.020000
Dehra Dun,836022534.296191,714223,30.320400,78.050000
Leshan,835972535.203646,1157000,29.567100,103.733300
Longxi,835930021.051901,355037,35.047600,104.639400
Neijiang,835887891.535923,1466000,29.580400,105.050000
Xigaze,835876265.982857,80000,29.250000,88.883300
Lhasa,835807075.331056,219599,29.645000,91.100000
Zigong,835616596.229971,1105000,29.400000,104.780000
Xianyang,835607282.047072,1126000,34.345600,108.714700
Saharanpur,835575817.040662,484873,29.970000,77.550000
Simla,835573445.114318,173503,31.100000,77.166600
Xian,835561279.646235,4009000,34.275000,108.895000
Dhangarhi,835549039.615288,92294,28.695000,80.593000
Wanzhou,835516568.750494,1680000,30.820000,108.400000
Gyangze,835498262.218011,10000,28.950000,89.633300
Fulin,835490204.479012,1049,29.350000,102.716700
Muzaffarnagar,835388255.937181,349706,29.485000,77.695000
Rampur,835337867.908151,296418,28.815400,79.025000
Pilibhit,835331369.641907,131008,28.640000,79.810000
Salyan,835299432.770441,15000,28.350000,82.183300
Pokhara,835283961.321228,200000,28.264000,83.972000
Moradabad,835279896.785928,787000,28.841800,78.756800
Baglung,835273253.990814,23296,28.266700,83.583300
Chandigarh,835223122.798179,979000,30.720000,76.780000
Nyingchi,835202014.794037,100,29.533300,94.416700
Chongqing,835195527.429284,6461000,29.565000,106.595000
Ambala,835113871.546383,146787,30.320000,76.820000
Linxia,835021435.286810,534555,35.600000,103.200000
Meerut,834973545.596819,1398000,29.000400,77.700000
Karnal,834892151.326833,225049,29.680400,76.970000
Nepalganj,834823718.926984,64400,28.050300,81.616700
Bareilly,834814932.658034,817000,28.345400,79.420000
Weinan,834804651.342062,172321,34.500400,109.500100
Pingliang,834784711.612507,207256,35.530400,106.680100
Hapur,834694935.385650,242920,28.743700,77.762800
Panipat,834674041.492995,292808,29.400400,76.970000
Patiala,834662336.740985,329224,30.320400,76.385000
Fengjie,834587829.797758,49168,31.050400,109.516700
Hoshiarpur,834584420.557367,158142,31.520000,75.980000
Kathmandu,834559147.989511,895000,27.716700,85.316600
Lalitpur,834483079.651875,337785,27.666600,85.333300
Tongchuan,834404065.578612,282258,35.080000,109.030000
Ludhiana,834379512.165312,1649000,30.927800,75.872300
Luzhou,834357124.507059,1537000,28.880000,105.380000
Ghaziabad,834353570.403750,1341000,28.660400,77.408400
Sonipat,834350776.982843,250521,29.000000,77.020000
Yibin,834333995.756709,902000,28.770000,104.570000
Bhimphedi,834299603.410659,15000,27.551000,85.130000
Delhi,834234266.295836,15926000,28.670000,77.230000
Lanzhou,834231259.700502,2561000,36.056000,103.792000
Bulandshahr,834211182.358496,198612,28.410400,77.848400
Pathankot,834203609.327380,253987,32.270300,75.720000
Shahjahanpur,834190599.753851,320434,27.880400,79.905000
Yunxian,834180588.739405,133558,32.808200,110.813600
Shiyan,834174786.869678,770000,32.570000,110.780000
Bhairawa,834168316.741290,63367,27.533300,83.383300
